driver_encoded,team_encoded,race_name_encoded,year,driver_competitiveness,team_competitiveness,points_last_3,session_air_temp,session_track_temp,session_humidity,session_rainfall,heat_index,weather_difficulty_index,circuit_type_encoded,driver_avg_points_in_rain,driver_avg_points_in_dry,driver_rain_dry_delta,target_position
20,11,15,2023,0.08639999999999999,2.2324139706061907,0.0,18.05,17.99444444444444,47.361111111111114,0,0.18291666666666667,0.47361111111111115,2,0.0,0.07142857142857142,-0.07142857142857142,16
11,5,24,2022,0.8490318734163969,0.9110710757674189,0.6666666666666666,29.28529411764706,35.523529411764706,49.62352941176471,0,0.31818235294117647,0.49623529411764705,0,0.0,1.6666666666666667,-1.6666666666666667,9
15,10,4,2022,0.0,20.0352,0.0,23.617791411042944,28.61042944785276,29.49079754601227,0,0.2766576687116565,0.2949079754601227,0,0.0,0.0,0.0,18
22,1,18,2022,1.0694400000000002,0.5130635378687999,0.3333333333333333,22.27469387755102,31.038367346938774,75.66530612244898,1,0.23213632653061222,3.75665306122449,2,0.0,2.75,-2.75,17
20,11,20,2023,0.0,0.46212085059056224,0.0,26.09189189189189,31.79256756756757,57.79054054054054,0,0.2759310810810811,0.5779054054054054,2,0.0,0.0,0.0,16
13,7,3,2022,4.7366144,9.288,5.0,25.435403726708078,47.14968944099379,59.49068322981366,0,0.3317204968944099,0.5949068322981366,2,4.5,6.166666666666667,-1.666666666666667,9
21,3,12,2024,2.232034881013307,4.04319846999523,2.3333333333333335,28.82387096774194,44.91612903225806,46.92258064516129,0,0.3556851612903225,0.4692258064516129,0,3.1538461538461537,1.837837837837838,1.3160083160083158,10
15,10,12,2024,4.350161745372291,24.584476318416385,4.0,28.82387096774194,44.91612903225806,46.92258064516129,0,0.3556851612903225,0.4692258064516129,0,13.538461538461538,11.805555555555555,1.732905982905983,7
13,7,12,2024,14.587245796187323,32.65276732329969,11.0,28.82387096774194,44.91612903225806,46.92258064516129,0,0.3556851612903225,0.4692258064516129,0,9.615384615384615,8.131578947368421,1.4838056680161937,2
10,4,17,2023,8.862080843184858,20.503547832035082,9.0,27.11741935483871,36.689032258064515,59.42580645161291,0,0.30003483870967745,0.5942580645161291,2,14.333333333333334,11.588235294117647,2.745098039215687,7
8,11,20,2022,0.0,0.56903350616064,0.0,25.42039473684211,28.40921052631579,59.66447368421053,0,0.2564947368421053,0.5966447368421053,2,0.0,0.0,0.0,18
0,11,2,2024,0.17662452755855848,0.4535607104051533,0.0,28.164102564102567,42.68846153846154,47.37179487179487,0,0.34236666666666665,0.4737179487179487,0,0.6,0.6944444444444444,-0.09444444444444444,15
6,8,20,2022,9.4,15.045072716103679,8.0,25.42039473684211,28.40921052631579,59.66447368421053,0,0.2564947368421053,0.5966447368421053,2,0.0,8.0,-8.0,10
15,10,3,2023,19.466639819256407,39.668735564572316,20.333333333333332,22.201219512195127,36.83170731707317,58.28048780487805,1,0.2722536585365854,3.5828048780487807,2,19.166666666666668,12.470588235294118,6.69607843137255,1
25,0,23,2022,0.06813358019444736,3.0653530200709533,0.0,22.6123595505618,36.339325842696624,70.56179775280899,0,0.2604696629213483,0.7056179775280899,0,0.0,0.46153846153846156,-0.46153846153846156,12
25,0,24,2022,0.1135559669907456,1.839211812042572,0.0,29.28529411764706,35.523529411764706,49.62352941176471,0,0.31818235294117647,0.49623529411764705,0,0.0,0.5,-0.5,12
